record_id,age,gender,role,role_other,healthtype,healthtype_2,healthtype_3,screening,screening_2,jobrole,marital,child_dependants,adult_dependants,experience_1,experience_2,experience_3,experience_4,contacttype,contacttype_2,prevention_1,prevention_2,prevention_3,masktype,prevention_11,prevention_10,prevention_9,prevention_8,prevention_7,prevention_6,prevention_5,prevention_4,other_prevention,service_demand_1,service_demand_2,skills_1,skills_2,skills_3,belief,social_role,conseq_beliefs_1,conseq_beliefs_2,conseq_beliefs_3,intentions,environment_context_1,environment_context_2,environment_context_3,environment_context_4,supplies_1,supplies_2,supplies_3,supplies_4,supplies_5,supplies_6,supplies_7,supplies_8,supplies_9,supplies_10,supplies_11,social_influence_1,social_influence_2,social_influence_3,social_influence_4,emotion_1,emotion_2,emotion_3,emotion_4,emotion_5,trust_1,trust_2,trust_3
7,41,0,2,,11,0,Kampala,1,4,1,1,6,1,2,2,2,2,,,1,1,1,"Three layered surgical masks",,,1,1,2,1,1,,,5,4,6,6,6,7,7,6,7,2,7,7,7,7,6,7,7,7,7,7,7,2,7,7,3,7,6,7,6,4,6,6,6,5,2,2,1,1
8,50,0,5,,4,1,Kampala,1,1,3,2,4,1,1,2,1,2,,,1,,,,,,1,,,1,1,,,6,6,6,7,6,6,7,6,6,6,7,7,6,7,7,7,6,7,,6,5,5,7,7,5,2,6,7,7,5,7,7,7,5,2,1,2,2
9,35,0,2,,1,0,"Kampala ",1,1,1,3,7,2,1,1,1,1,2,,1,1,1,"Surgical mask",,,1,,,1,,,,4,4,5,5,5,7,7,2,7,5,7,5,5,1,4,7,7,7,1,1,7,1,1,7,1,1,6,7,6,2,7,7,6,3,1,3,1,1
10,34,1,2,,1,0,Kampala,1,2,2,3,6,1,1,1,1,1,2,,1,1,1,,,,1,1,,1,1,1,,6,3,7,7,7,7,7,6,7,7,7,7,7,6,1,5,7,7,3,2,5,5,5,7,1,7,6,7,7,7,7,7,7,7,5,5,3,3
11,38,0,8,,11,0,Wakiso,1,2,2,5,4,1,2,2,3,2,,,1,1,1,,2,2,1,2,2,2,2,2,,3,3,5,3,3,6,7,2,6,6,6,7,3,2,2,7,7,7,6,6,7,2,2,2,2,2,1,7,6,2,7,7,7,7,5,,5,3
12,33,0,10,,10,0,Wakiso,2,,1,3,3,1,2,2,1,2,,,1,1,3,,3,3,1,1,2,1,1,2,,5,5,5,5,4,6,7,5,6,7,6,5,5,5,4,,,,,,,,,,,,5,7,6,5,6,7,7,4,3,3,2,3
13,31,0,10,,10,1,"Entebbe ",2,,2,3,2,1,2,2,1,2,,,1,,1,,,,,,,1,,1,,7,7,7,1,7,7,6,7,6,6,7,1,7,1,4,7,7,7,7,7,7,7,7,7,1,7,7,7,7,3,7,7,1,7,1,1,6,6
14,40,1,10,,11,1,National,2,,1,3,2,1,2,2,2,2,,,1,2,1,,2,2,2,2,2,,2,2,,2,2,1,1,1,7,7,6,7,2,5,6,3,1,5,1,1,1,1,1,1,1,1,1,1,1,6,6,6,6,6,6,6,6,6,1,5,5
15,38,0,2,,1,1,Kampala,1,1,1,1,4,2,2,1,1,1,1,2,1,1,2,,2,2,2,1,2,1,1,1,,6,5,6,7,6,6,4,7,7,7,7,7,7,6,4,7,,7,5,6,7,7,,7,6,7,7,7,7,4,7,7,5,5,5,3,3,3
16,54,0,8,,11,1,"Mulago Hospital",1,1,1,3,5,1,2,2,2,2,,,,,,,,,,,,,,,,,,5,5,5,5,5,5,,5,4,4,4,1,4,1,1,2,1,1,1,2,4,1,6,6,5,5,5,5,5,5,6,5,5,4,4,4
17,28,0,6,,3,0,Kampala,1,1,1,1,2,2,1,2,1,1,1,1,1,1,,,,,1,1,1,1,1,1,,6,6,7,6,6,6,7,1,6,6,7,6,6,6,2,7,7,7,5,5,7,7,6,7,7,7,6,7,7,5,7,7,1,7,2,6,6,6
18,30,1,2,,4,1,Kampala,1,1,1,3,2,2,3,3,1,1,2,,1,1,2,,2,2,2,2,2,1,2,2,,2,2,5,6,5,5,6,2,5,5,6,2,2,3,4,7,7,7,2,2,6,1,1,6,1,6,3,6,5,5,6,6,6,6,2,5,4,4
19,63,1,2,,4,1,Kampala,1,1,1,3,3,2,1,2,1,2,,,1,3,1,,,,,,,1,,,,6,7,6,6,7,7,7,6,6,7,6,6,5,7,5,6,6,6,5,5,7,5,5,7,4,4,5,6,5,5,6,6,,5,5,2,1,2
20,43,1,1,,2,0,Kampala,1,1,1,3,4,2,1,1,1,1,1,1,1,1,,,,,,1,,1,1,1,,1,2,2,1,1,1,1,1,1,1,1,1,3,2,2,1,1,1,1,,1,,1,1,,1,3,1,3,3,1,1,4,4,1,2,1,1
21,62,0,1,,1,0,Kampala,1,2,2,7,6,1,2,2,1,1,1,2,,,1,,,,,,,,,,,1,1,3,6,1,2,2,7,6,2,6,2,6,6,2,7,7,7,7,7,7,7,7,7,1,7,5,6,5,3,6,6,5,5,4,2,1,1
22,35,1,9,,1,0,Kampala,2,,1,3,4,1,2,2,1,1,3,,1,1,,,,,,,,,,1,,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,7,7,1,7,7,,7,7,7,7,7,7,7,7,7,7,6,6,6
23,30,0,6,,5,0,"Mengo ",1,1,1,3,4,2,1,2,1,1,1,2,1,1,,,,,,,,1,,,,5,5,2,2,5,5,6,2,6,6,7,2,2,7,2,2,1,7,6,6,7,1,1,6,1,7,5,7,5,1,7,7,7,7,5,5,5,5
24,49,1,1,,11,0,Kampala,1,1,1,3,2,2,2,1,1,2,,,1,1,1,,2,1,2,1,2,1,2,2,,5,5,7,7,6,7,7,6,7,7,7,7,7,7,6,7,7,7,6,6,7,4,4,7,4,7,2,7,7,7,7,7,1,7,7,3,2,2
25,50,0,6,,5,0,Kampala,1,1,1,3,1,2,3,3,1,1,1,2,1,1,1,"Surgical mask",3,1,1,1,1,1,1,1,,7,7,7,7,7,7,7,7,6,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,2,7,7,2,7,7,2,2,1
26,31,1,1,,8,0,Kampala,1,1,2,1,7,2,1,2,1,1,1,2,1,1,2,,2,2,2,1,2,1,1,1,,1,1,3,1,1,1,1,1,1,1,1,1,2,1,2,7,7,7,7,7,6,6,6,7,6,6,6,6,6,6,1,1,1,1,1,1,1,1
27,45,1,2,,6,0,"Kampala ",1,1,1,3,3,1,2,2,1,2,,,1,1,2,,1,2,1,1,2,1,1,2,gumboots,7,7,6,6,5,7,7,6,7,7,7,5,2,7,4,5,6,7,4,4,7,4,6,7,3,7,4,6,6,3,7,6,6,6,6,3,4,3
28,34,0,6,,11,0,"Mengo hospital ",,,1,3,3,2,2,2,1,2,,,1,1,1,,3,2,1,1,2,1,1,1,,6,6,6,6,6,7,7,7,7,2,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,5,7,7,5,7,5,2,2,2
29,42,1,1,,1,0,Kampala,1,2,1,3,5,1,1,1,1,1,1,2,1,1,2,,2,2,1,1,1,1,1,1,,6,4,6,6,6,7,6,6,6,7,6,4,6,5,4,6,6,6,6,6,6,6,6,6,6,6,4,6,6,4,5,5,4,6,6,5,5,5
30,31,0,5,,11,0,Kampala,2,,1,3,3,2,2,2,2,2,,,1,1,1,"Surgical mask",2,2,1,2,,1,1,2,,3,3,6,6,6,6,7,6,6,2,6,6,2,2,2,6,6,6,2,2,5,2,2,6,2,2,6,6,6,6,6,6,7,6,2,1,2,2
31,36,1,9,,11,0,Mengo,1,1,1,3,3,2,2,2,1,2,,,1,1,1,Disposable,1,2,2,1,2,2,2,2,,6,6,6,6,6,6,6,6,6,6,6,7,7,6,6,7,7,7,7,7,7,7,7,7,7,7,6,6,6,2,7,7,6,6,6,1,1,1
32,36,1,9,,11,0,Mengo,1,1,1,3,3,2,2,2,1,2,,,1,1,1,Disposable,1,2,2,1,2,2,2,2,,6,6,6,6,6,6,6,6,6,6,6,7,7,6,6,7,7,7,7,7,7,7,7,7,7,7,6,6,6,2,7,7,6,6,6,1,1,1
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,2,2,6,6,2,,,,,,,,,,,,
34,25,0,7,,10,0,"Kampala ",1,5,1,1,4,2,2,2,1,2,,,1,1,1,,2,2,1,1,2,1,1,2,,7,7,1,6,7,7,6,5,1,6,7,6,6,7,1,7,7,7,5,5,7,1,5,7,1,7,7,7,5,1,7,7,1,7,1,1,6,6
35,54,0,5,,8,0,Kampala,1,1,1,3,6,1,1,2,1,1,2,,1,2,1,,,1,2,2,2,1,2,2,,2,2,5,6,3,6,2,2,5,5,7,5,6,1,5,1,1,1,2,2,1,2,2,1,2,5,5,7,7,2,7,7,7,6,6,2,5,3
36,34,0,2,,4,1,Kampala,1,2,1,3,4,2,2,2,1,2,,,1,2,1,,2,1,2,2,2,1,2,2,,1,1,5,7,3,6,7,1,7,5,6,1,2,1,1,7,7,7,1,1,7,1,1,7,1,7,5,7,5,7,7,7,7,7,5,6,5,5
37,59,0,5,,6,0,Kampala,1,1,1,3,1,2,2,2,2,2,,,1,1,,,,,,1,,,,1,,6,2,6,6,7,6,6,5,6,6,7,7,5,6,1,7,7,7,2,6,2,2,2,2,2,2,6,7,7,2,6,6,7,6,6,2,2,2
38,45,1,10,,11,0,"Kampala ",2,,1,2,4,1,2,2,3,2,,,2,2,2,,2,2,2,2,2,2,2,2,,3,2,7,7,6,6,6,3,7,3,6,7,5,6,3,6,7,7,7,7,7,2,7,7,2,7,6,6,7,3,6,6,5,6,7,5,5,5
39,28,0,9,,11,0,Kampala,1,5,1,1,6,2,3,3,3,3,,,1,,1,,,,,,,,,,,6,6,7,7,6,7,7,7,7,7,7,4,4,5,5,7,7,7,,,,,,,,,7,7,7,4,,,,,,,,
40,23,1,6,,1,1,Mbarara,1,2,5,1,3,1,2,1,2,1,2,,1,1,1,"Surgical masks",,,1,1,1,1,1,1,,7,7,7,7,7,7,7,7,7,1,7,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2,7,7,2,1,2,1,1,1
41,29,1,2,,1,0,Kampala,1,1,1,1,6,2,2,2,2,1,1,2,1,1,2,,2,2,1,1,2,1,2,1,,6,6,6,6,6,6,6,5,6,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,6,6,6,6,6,6,6,6,6,3,5,5,5
42,43,1,1,,1,1,Kampala,1,1,1,3,3,1,1,1,1,1,1,2,1,1,1,Surgical,2,2,2,1,2,1,2,2,,3,3,5,6,5,6,6,5,7,2,7,5,5,7,4,7,7,7,6,6,7,3,5,7,2,5,5,7,6,2,7,7,2,6,2,4,2,1
43,66,1,2,,4,0,KATABI,1,2,3,6,7,2,1,2,3,1,1,2,1,2,1,,,,2,2,2,2,2,2,,6,4,6,7,7,6,7,6,4,1,6,7,6,2,4,7,7,7,2,2,7,6,6,7,2,1,7,7,6,4,6,7,1,7,2,5,1,1
44,66,1,2,,4,0,KATABI,1,2,3,6,7,2,1,2,3,1,1,2,1,2,1,,,,2,2,2,2,2,2,,6,4,6,7,7,6,7,6,4,1,6,7,6,2,4,7,7,7,2,2,7,6,6,7,2,1,7,7,6,4,6,7,1,7,2,5,1,1
45,31,0,6,,1,0,Kampala,1,2,1,2,3,2,1,2,1,1,2,,1,1,2,,,,1,1,2,1,1,1,,6,6,6,6,5,7,7,7,6,2,6,6,6,6,6,6,6,6,4,5,7,6,6,6,5,6,6,6,6,6,6,6,5,6,6,2,2,3
46,39,0,8,,11,0,"Kampala ",1,1,3,8,5,2,2,2,2,2,,,1,,,,,,,,,,,,,6,5,6,4,2,7,7,5,5,1,6,6,2,1,4,6,6,6,,,6,,6,6,4,4,7,7,7,5,7,7,2,6,6,1,1,1
47,36,1,1,,8,0,Mukono,1,1,1,2,2,1,2,2,1,2,,,1,1,1,,,2,3,2,2,1,2,2,,1,1,1,1,1,1,3,1,2,4,6,4,5,1,1,5,7,7,5,4,7,1,4,7,1,4,6,5,4,1,7,7,7,7,1,5,4,5
48,70,0,10,,11,0,District,1,1,1,1,6,2,2,2,2,2,,,1,2,1,"Surgical masks",1,2,1,2,2,1,1,1,,4,4,4,1,1,4,6,6,6,6,6,6,5,1,5,6,6,6,1,1,6,,6,5,1,1,5,6,6,5,4,4,1,5,5,5,5,1
