record_id,gender,d_marital_c_u,d_region_c_o,d_hosp_c_u,d_job_role_c_u,e_contact_type_c_o,e_do_care_c_o,i_n95_c_o,26 i_mask_c_o,i_hand_hyg_c_o,acces_gants,_eye_protect_c_o,s_can_manage_c_o,s_cont_mge_c_o,s_ipc_skill_c_o,s_received_training,s_can_don_c_o,_can_followc_o,s_can_protect_c_0,s_is_proected,42 s_is_straining_c_o
1,1,1,1,3,3,2,1,0,0,1,0,0,2,2,1,1,1,1,2,1,1
2,1,1,1,3,3,1,0,0,0,0,1,0,1,3,2,1,2,1,2,2,3
3,1,,1,1,1,2,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1
4,1,2,1,3,1,2,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1
5,2,2,1,2,1,1,1,0,0,0,1,1,1,3,1,1,1,1,3,1,1
6,1,2,1,2,1,2,0,0,0,1,1,1,1,1,2,1,2,2,1,1,1
7,1,1,1,3,3,3,0,0,0,1,1,0,3,3,1,1,1,1,1,1,1
8,1,2,1,3,4,1,0,0,0,1,1,1,1,1,2,1,1,1,1,1,1
9,1,1,1,3,4,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
10,1,2,1,3,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1
11,1,2,1,3,1,2,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
12,2,1,1,1,2,3,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1
13,2,2,1,3,1,2,1,0,0,0,1,1,1,1,2,1,1,1,1,1,1
14,1,1,1,3,4,1,0,0,0,0,1,1,1,1,2,1,1,1,1,1,2
15,2,1,1,3,4,2,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1
16,2,1,1,3,4,2,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
17,1,1,1,3,2,2,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1
18,2,1,1,3,4,3,1,0,0,1,1,1,1,3,1,1,1,1,1,1,1
20,1,1,1,3,1,2,1,0,0,0,1,1,1,1,2,1,1,1,2,1,1
21,2,2,1,3,1,2,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1
22,1,1,1,3,1,2,1,0,0,0,1,1,1,1,3,1,1,1,1,1,1
23,1,1,1,3,1,2,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1
24,2,1,1,3,3,3,0,0,0,0,1,0,3,3,1,3,1,1,1,1,3
25,2,1,1,3,,3,0,0,0,1,1,1,2,2,1,1,1,1,1,1,1
26,2,2,1,3,4,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1
27,1,1,1,3,1,2,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
28,2,1,1,3,4,2,1,0,0,0,1,1,1,1,3,1,1,1,1,1,3
29,1,1,1,3,4,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
30,2,2,1,3,4,2,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1
31,2,2,1,3,4,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
32,2,1,1,3,2,2,1,0,0,0,1,1,1,1,1,1,1,1,1,1,2
33,1,1,1,3,4,2,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
34,2,1,1,3,4,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
35,2,2,1,3,4,2,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1
36,2,2,1,3,2,2,1,0,0,0,1,1,1,1,2,1,1,1,1,1,2
37,2,2,1,3,1,2,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1
38,2,1,1,3,4,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
39,2,2,1,3,4,3,0,0,0,0,1,1,1,1,1,1,1,1,1,1,3
40,1,2,1,1,1,2,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1
41,2,2,1,3,4,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
42,2,2,1,3,4,1,0,0,0,1,1,1,1,1,2,1,1,1,1,1,2
43,2,1,1,3,4,1,0,0,0,0,1,1,2,2,1,1,2,2,2,1,1
44, ,,  , ,, , ,0,0,0, , , , , , , , , , , 
45,2,1,1,8,4,2,0,0,0,0,1,1,1,3,1,1,1,1,1,1,1
46,2,1,1,3,4,2,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
47,1,1,1,3,1,1,1,0,0,0,1,1,3,3,3,1,1,1,1,1,1
48,2,1,1,3,3,2,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1
49,1,2,1,3,1,2,1,0,0,0,1,1,1,3,2,1,1,1,1,1,1
50,1,2,1,3,1,2,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1
51,1,1,1,5,4,3,0,0,0,1,0,0,3,3,1,1,2,2,1,1,2
52,1,1,1,5,3,3,0,0,0,1,0,0,3,3,2,2,1,1,1,1,1
53,2,2,1,1,4,3,0,0,0,1,1,1,2,1,2,1,1,3,1,1,3
54,2,2,1,5,4,3,0,0,0,1,0,0,3,3,3,3,3,3,3,3,3
55,1,1,1,5,5,3,0,0,0,1,0,0,1,1,1,1,3,3,1,3,3
56, ,,  , ,,, ,0,0,0, , , , , , , , , , , 
57,2,2,1,3,2,,1,0,0,0,1,1,1,1,1,1,1,1,2,2,2
58,2,1,1,3,2,,1,0,0,1,1,1,1,1,1,1,1,1,1,1,2
59,1,1,1,3,2,,1,1,0,0,1,1,1,1,3,1,1,1,1,3,3
60,2,2,1,1,2,,1,0,0,1,1,1,3,1,2,1,1,1,2,1,1
61,1,2,1,3,2,,1,0,0,1,1,1,1,2,2,1,1,1,2,1,1
62,2,2,1,1,2,,1,0,0,0,1,1,1,1,1,1,1,1,1,1,2
63,1,1,1,1,2,,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1
64,1,1,1,3,1,,0,0,0,1,1,0,1,1,3,1,3,3,1,1,3
65,2,1,1,3,3,,0,0,0,1,1,0,3,3,1,3,1,1,1,1,2
66,2,2,1,3,2,,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1
67,1,1,1,1,2,,0,1,0,0,1,0,2,2,1,1,1,1,1,1,2
68,2,1,1,4,3,,0,0,0,1,1,0,2,2,1,1,2,1,2,1,1
68,1,1,1,5,2,,0,0,0,1,0,0,3,3,1,1,3,3,1,1,3
69,2,2,1,3,4,,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1
70,2,2,1,3,1,,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1
71,1,1,1,3,2,,1,1,0,0,1,1,1,1,1,1,1,1,1,1,3
72,2,2,1,3,2,,1,0,0,0,1,1,1,1,1,1,1,1,1,1,3
73,1,1,1,3,2,,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1
74,1,1,1,3,1,,0,0,0,1,0,0,2,3,2,1,1,1,1,1,3
75,1,1,1,3,3,,0,0,0,1,1,0,1,1,2,1,2,1,2,1,1
76,1,1,1,3,3,,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
77,1,2,1,3,2,,1,0,0,0,1,1,1,1,1,1,1,1,1,1,3
78,1,2,1,3,4,,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2
79,1,2,1,3,4,,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
80,2,2,1,3,4,,1,0,0,1,1,1,1,1,2,1,1,1,1,1,1
81,2,2,1,3,4,,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
82,1,2,1,3,1,,0,0,0,1,1,1,2,1,1,1,1,1,1,1,1
83,1,2,1,3,1,,1,0,0,0,1,1,2,2,1,1,2,2,2,1,1
84,2,1,1,2,4,,0,0,0,1,1,1,1,1,1,1,1,2,1,1,1
85,2,2,1,3,4,,0,0,0,0,1,1,1,1,2,1,2,2,1,1,1
86,2,2,1,3,4,,0,0,0,1,1,1,1,1,3,3,1,1,1,1,1
87,1,1,1,3,4,,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1
88,1,1,1,1,1,,0,0,0,0,1,1,1,1,1,1,1,1,3,1,1
89,2,1,1,2,4,,0,0,0,1,1,1,3,3,1,1,1,1,2,1,2
90,1,2,1,2,2,,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
91,2,1,1,2,4,,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
92,1,1,1,2,4,,1,0,0,1,1,0,1,3,1,1,2,2,1,1,1
93,1,2,1,3,1,,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1
94,2,2,1,1,1,,1,0,0,0,1,1,1,1,2,1,1,1,1,1,1
95,2,2,1,1,1,,1,0,0,0, , , , , , , , , , , 
96,1,2,1,1,1,,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1
97,1,2,1,3,1,,0,0,0,1,1,1,1,1,2,1,1,1,2,1,1
98,1,1,1,3,3,,0,0,0,1,1,0,1,1,1,3,2,3,2,2,1
99,2,1,1,3,3,,0,0,0,1,1,0,1,3,1,1,1,1,1,1,1
100,1,1,1,3,3,,0,0,0,0,1,0,1,3,1,1,1,1,2,1,1
101,1,2,1,1,1,,1,1,0,0,1,1,1,1,1,1,2,2,2,1,1
102, ,,  , ,,, ,0,0,0, , , , , , , , , , , 
103,1,2,1,2,1,,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2
104,1,1,1,2,2,,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1
105,1,2,1,1,3,,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
106,1,1,1,3,2,,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1
107,1,2,1,3,2,,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1
108,1,2,1,3,4,,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2
109,1,1,1,3,4,,0,0,0,0,1,1,1,3,3,1,1,1,1,1,2
110,2,2,1,3,2,,1,0,0,0,1,0,1,1,3,1,1,1,1,1,1
111,1,2,1,3,4,,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
112,2,1,1,3,4,,0,0,0,0,1,1,1,1,1,1,1,1,1,3,2
113,1,1,1,3,4,,0,0,0,0,1,1,1,1,2,1,1,1,1,1,2
114,2,2,1,3,3,,1,1,0,0,1,1,1,1,1,1,1,1,1,1,2
115,2,2,1,3,1,,1,0,0,0,1,1,1,1,2,1,1,1,1,1,1
116,2,2,1,3,2,,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1
117,1,1,1,3,1,,1,0,0,1,1,1,2,2,1,1,1,1,1,1,1
118,2,2,1,3,2,,0,0,0,1,1,0,1,1,3,3,2,2,1,1,1
119,2,2,1,3,2,,1,0,0,0,1,1,1,1,1,1,1,1,1,1,2
120,1,1,1,3,2,,1,0,0,0,1,1,1,1,2,1,1,1,1,1,1
121,1,1,1,3,4,,0,0,0,1,1,1,1,1,3,1,1,1,1,1,3
122,2,2,1,3,4,,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1
123,2,1,1,3,4,,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2
124,2,1,1,3,4,,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1
125,2,1,1,1,4,,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
126,1,2,1,3,1,,0,0,0,0,1,1,1,1,2,1,1,1,1,1,1
127,2,2,1,3,4,,0,0,0,0,1,1,1,1,2,1,1,1,1,1,1
128,2,1,1,3,4,,0,0,0,0,1,1,1,1,2,1,1,1,1,1,1
129,1,1,1,3,4,,0,0,0,0,1,1,1,1,1,1,1,1,1,1,3
130,2,2,1,3,2,,1,1,0,0,1,1,1,1,1,1,1,1,1,1,2
131,2,1,1,3,4,,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1
132,2,1,1,3,4,,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
133,2,2,1,3,2,,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1
134,2,2,1,3,1,,1,0,0,0,1,1,1,1,3,1,1,1,1,1,1
135,1,2,1,3,1,,1,1,0,0,1,1,1,1,2,1,1,1,1,1,1
136,2,1,1,3,2,,1,0,0,0,1,1,1,3,1,1,1,1,1,1,1
137,2,1,1,3,2,,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1
138,2,2,1,3,4,,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
139,2,1,1,3,4,,0,0,0,1,0,0,1,1,1,1,1,1,2,1,1
140,1,1,1,3,4,,0,0,0,1,1,1,1,1,2,1,1,1,1,1,1
141,1,2,1,3,1,,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
142,2,1,1,3,4,,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
143,1,2,1,1,1,,1,0,0,0,1,1,1,1,1,1,1,1,1,1,2
144,2,2,1,1,2,,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1
144,2,2,1,4,5,,0,0,0,1,0,0,2,2,2,1,2,1,2,1,1
145,1,0,1,5,2,,0,0,0,1,0,0,2,2,1,1,1,2,1,1,2
146,1,2,1,3,2,,1,1,0,0,1,1,1,1,1,1,1,1,2,2,1
147,1,1,1,3,1,,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
148,1,1,1,2,1,,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
149,1,2,1,1,2,,1,0,0,1,1,0,1,1,2,1,1,1,2,1,1
150,2,1,1,3,3,,0,0,0,1,1,0,1,1,1,1,1,1,1,2,2
151,2,1,1,3,3,,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1
152,2,2,1,3,3,,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1
152,1,2,1,4,5,,0,0,0,1,1,0,2,2,2,1,2,1,1,1,1
153,1,1,1,2,3,,1,0,0,1,1,0,1,1,1,3,1,1,1,1,1
154,1,1,1,2,3,,1,0,0,1,1,0,1,1,1,1,1,1,2,2,1
155,1,2,1,2,1,,1,0,0,0,1,1,1,1,3,1,1,1,1,1,1
156,1,1,1,3,1,,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1
157,1,2,1,3,1,,1,0,0,0,1,0,1,1,1,1,1,1,2,2,1
158,1,1,1,3,2,,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
159,2,1,1,3,2,,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1
160,1,2,1,3,2,,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1
