d_carer_b,consent,willing,d_region_c_o,d_age_i,d_gender,d_edu_c_o,d_hosp_c_u,d_marital_c_u,d_chdn_i,d_job_role_c_u,d_work_unit_c_u,d_contact_freq_i,d_job_type_c_u,d_training_years_i,e_ever_worked_c_u,e_ever_cared_c_u,e_ever_contact_c_u,e_do_care_c_o,s_can_manage_c_o,s_cont_mge_c_o,s_ipc_skill_c_o,s_received_training,s_can_don_c_o,s_can_followc_o,s_can_protect_c_0,s_is_proected,s_is_straining_c_o,s_will_use_c_o,s_proto_exists_c_o,s_can_access_ppe_c_o,s_has_iso_fac,s_know_cont_c_o,s_get_supp_c_o,s_coll_follow_c_o,s_expected_i_fllw_c_o,s_enco_supp_c_o,b_manage,b_honest_manage,b_dir_interest,d_media_covid_v2,i_journals
Yes,Yes,Yes,Yaounde,28,Female,Masters,Unlucrative private Health facility,Living with another (Married - Partnership),2,Medical Doctor,Medical Unit,Almost every day of the month,Long-Term Contract (>12mths),2 to 5  years,No,No,Yes,No,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,2,2,-2,-2,2,2,1,NA
Yes,Yes,Yes,Yaounde,41,Female,Post-Secondary School/SSS/SHS Certificate,Unlucrative private Health facility,Living with another (Married - Partnership),4,Midwife,Maternity,Almost every day of the month,Long-Term Contract (>12mths),6 to 10 years,No,No,Yes,No,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,2,2,2,-2,0,2,1,NA
Yes,Yes,Yes,Yaounde,40,Female,Post-Secondary School/SSS/SHS Certificate,Unlucrative private Health facility,Living with another (Married - Partnership),5,Nurse,Medical Unit,Almost every day of the month,Long-Term Contract (>12mths),11 to 15 years,Yes,Yes,No,Yes,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,2,2,2,-2,2,2,1,NA
Yes,Yes,Yes,Yaounde,30,Female,First University Degree,Unlucrative private Health facility,Living alone,3,Non clinical,Other,Almost every day of the month,Long-Term Contract (>12mths),2 to 5  years,No,Yes,Yes,No,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,2,2,2,-1,2,2,1,NA
Yes,Yes,Yes,Yaounde,33,Female,Post-Secondary School/SSS/SHS Certificate,Unlucrative private Health facility,Living alone,3,Allied health professionals,Other,Almost every day of the month,Long-Term Contract (>12mths),2 to 5  years,No,Yes,Yes,No,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,2,2,2,-2,-2,2,1,NA
Yes,Yes,Yes,Yaounde,29,Female,First University Degree,Unlucrative private Health facility,Living alone,1,Allied health professionals,Other,Almost every day of the month,Short-term contract (< 13mths),< 1 year,Yes,No,Yes,No,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,2,2,2,-2,-2,2,1,NA
Yes,Yes,Yes,Yaounde,33,Male,First University Degree,Unlucrative private Health facility,Living alone,2,Allied health professionals,Other,Almost every day of the month,Short-term contract (< 13mths),2 to 5  years,No,No,Unsure,No,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,2,2,2,-2,0,0,1,NA
Yes,Yes,Yes,Yaounde,32,Male,Masters,Unlucrative private Health facility,Living alone,2,Allied health professionals,Other,Almost every day of the month,Part time,2 to 5  years,No,No,Unsure,No,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,2,2,2,-2,0,2,1,NA
Yes,Yes,Yes,Yaounde,26,Male,First University Degree,Unlucrative private Health facility,Living alone,1,Non clinical,Other,Almost every day of the month,Fulltime,6 to 10 years,No,No,Yes,No,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,-2,0,2,-2,0,2,1,NA
Yes,Yes,Yes,Yaounde,45,Female,Post-Secondary School/SSS/SHS Certificate,Unlucrative private Health facility,Living with another (Married - Partnership),5,Midwife,Maternity,Almost every day of the month,Long-Term Contract (>12mths),11 to 15 years,No,No,Yes,No,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,2,2,2,-2,-1,2,1,NA
Yes,Yes,Yes,Yaounde,27,Male,Post-Secondary School/SSS/SHS Certificate,Lucrative private health Facility,Living alone,4,Pharmacist,Other,Never,Prefer not to say,2 to 5  years,No,No,No,No,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,1,1,0,-2,1,1,1,NA
Yes,Yes,Yes,Yaounde,28,Female,Masters,Unlucrative private Health facility,Living with another (Married - Partnership),3,Allied health professionals,Medical Unit,Just about one day during each week,Fulltime,6 to 10 years,No,No,Yes,No,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat disagree,Strongly disagree,Somewhat agree,Strongly agree,1,1,0,-1,1,2,1,NA
Yes,Yes,Yes,Yaounde,40,Female,Other,Lucrative private health Facility,Living with another (Married - Partnership),3,Nurse,Medical Unit,Almost every day of the month,Long-Term Contract (>12mths),11 to 15 years,Yes,Yes,Yes,Yes,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly disagree,Neither agree nor disagree,2,1,-1,1,0,0,1,NA
NA,Yes,Yes,Yaounde,38,Male,Other,Lucrative private health Facility,Living with another (Married - Partnership),2,Non clinical,Other,Never,Fulltime,< 1 year,No,No,No,No,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,0,0,0,0,0,0,7,NA
