,d_carer_b,consent,willing,d_region_c_o,d_age_i,d_gender,d_edu_c_o,d_hosp_c_u,d_marital_c_u,d_chdn_i,d_job_role_c_u,d_work_unit_c_u,d_contact_freq_i,d_job_type_c_u,d_training_years_i,d_aware_novel,d_getting_infected,d_contacting_coronavirus,d_consider_yourself,e_ever_worked_c_u,e_ever_cared_c_u,e_ever_contact_c_u,e_do_care_c_o,e_contact_type_c_o,e_aerosol_c_o,i_n95_c_o,i_mask_c_o,i_hand_hyg_c_o,i_gown_c_o,i_apron_c_o,i_full_suit_c_o,i_gloves_c_o,i_eye_protect_c_o,i_sing_use_eqps_c_o,s_can_manage_c_o,s_cont_mge_c_o,s_ipc_skill_c_o,s_received_training,s_can_don_c_o,s_can_followc_o,s_can_protect_c_0,s_is_proected,s_is_straining_c_o,s_will_use_c_o,s_risk_concd_c_o,s_fam_concd_c_o,s_is_afraid_c_o,s_accept_c_o,s_my_ctrl_c_o,b_manage,b_honest_manage,b_dir_interest
1,Yes,Yes,Yes,Yaounde,28,Female,Masters,Unlucrative private Health facility,Living with another (Married - Partnership),2,Medical Doctor,Medical Unit,Almost every day of the month,Long-Term Contract (>12mths),2 to 5  years,Yes,[1]  Extremely unlikely,[7] Extremely likely,[1]  Extremely unlikely,No,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree
2,Yes,Yes,Yes,Yaounde,41,Female,Post-Secondary School/SSS/SHS Certificate,Unlucrative private Health facility,Living with another (Married - Partnership),4,Midwife,Maternity,Almost every day of the month,Long-Term Contract (>12mths),6 to 10 years,Yes,[7] Extremely likely,[7] Extremely likely,[7] Extremely likely,No,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Somewhat Agree,Strongly Disagree,Neither Agree nor Disagree
3,Yes,Yes,Yes,Yaounde,40,Female,Post-Secondary School/SSS/SHS Certificate,Unlucrative private Health facility,Living with another (Married - Partnership),5,Nurse,Medical Unit,Almost every day of the month,Long-Term Contract (>12mths),11 to 15 years,Yes,[7] Extremely likely,[7] Extremely likely,[7] Extremely likely,Yes,Yes,No,Yes,Direct Contact with COVID-19 patients,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree
4,Yes,Yes,Yes,Yaounde,30,Female,First University Degree,Unlucrative private Health facility,Living alone,3,Non clinical,Other,Almost every day of the month,Long-Term Contract (>12mths),2 to 5  years,Yes,[7] Extremely likely,[7] Extremely likely,[7] Extremely likely,No,Yes,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Somewhat Disagree,Strongly Agree,Strongly Agree
5,Yes,Yes,Yes,Yaounde,33,Female,Post-Secondary School/SSS/SHS Certificate,Unlucrative private Health facility,Living alone,3,Allied health professionals,Other,Almost every day of the month,Long-Term Contract (>12mths),2 to 5  years,Yes,[7] Extremely likely,[7] Extremely likely,[7] Extremely likely,No,Yes,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree
6,Yes,Yes,Yes,Yaounde,29,Female,First University Degree,Unlucrative private Health facility,Living alone,1,Allied health professionals,Other,Almost every day of the month,Short-term contract (< 13mths),< 1 year,Yes,[1]  Extremely unlikely,[1]  Extremely unlikely,[1]  Extremely unlikely,Yes,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree
7,Yes,Yes,Yes,Yaounde,33,Male,First University Degree,Unlucrative private Health facility,Living alone,2,Allied health professionals,Other,Almost every day of the month,Short-term contract (< 13mths),2 to 5  years,Yes,[1]  Extremely unlikely,[1]  Extremely unlikely,[1]  Extremely unlikely,No,No,Unsure,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree
8,Yes,Yes,Yes,Yaounde,32,Male,Masters,Unlucrative private Health facility,Living alone,2,Allied health professionals,Other,Almost every day of the month,Part time,2 to 5  years,Yes,[7] Extremely likely,[7] Extremely likely,[7] Extremely likely,No,No,Unsure,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Neither Agree nor Disagree,Strongly Agree
9,Yes,Yes,Yes,Yaounde,26,Male,First University Degree,Unlucrative private Health facility,Living alone,1,Non clinical,Other,Almost every day of the month,Fulltime,6 to 10 years,Yes,[1]  Extremely unlikely,[1]  Extremely unlikely,[1]  Extremely unlikely,No,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Neither Agree nor Disagree,Strongly Agree
10,Yes,Yes,Yes,Yaounde,45,Female,Post-Secondary School/SSS/SHS Certificate,Unlucrative private Health facility,Living with another (Married - Partnership),5,Midwife,Maternity,Almost every day of the month,Long-Term Contract (>12mths),11 to 15 years,Yes,[7] Extremely likely,[7] Extremely likely,[7] Extremely likely,No,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Somewhat Disagree,Strongly Agree
