cid,id,country,age,sex,marital,education,educ other,chn,region,hospital,job role,other prof,work unit,contact freq,job type,train years,experience_1,experience_2,experience_3,e_do_care,can manage,continue manage,general training,received ipc training,can don,can follow,55) s_can protect,is protected,will use,proto exists,can access,has isolation,get support,expected I follow,expected to follow,colleagues follow,encouraged by staff,concerned about family,risk concerned,afraid of patients,accept risk,trust_1,trust_2,trust_3
hcw_8413,1,Senegal,24,Féminin,célibataire,doctorat,,0,Dakar,hopital de niveau III,Etudiant (e),,hopital,quotidiennement,,2,Yes ,Yes ,Yes ,,disagree,disagree,rather agree,somewhat agree,agree,agree,rather disagree,totally agree,without opinion,No,No,Yes , Do not know,totally agree,Yes ,Yes ,Yes ,Yes ,No,No,Yes ,part of the time,less than half the time,rather agree
hcw_8414,2,Senegal,25,Féminin,célibataire,master,,0,Dakar,hopital de niveau III,Etudiant (e),,hopital, Do not know,,2,No,Yes ,Yes ,,Agree,without opinion,disagree,disagree,disagree,rather agree,not agree at all,rather disagree,agree,No,No, Do not know,No,without opinion,Yes ,Yes ,Yes ,No,Yes ,No,No,most of the time, more than half the time,without opinion
hcw_8415,3,Senegal,58,Féminin,mari(é),BFEM,,8,Dakar,hopital de niveau I,Paramédical (e),,hopital,quotidiennement,,37,Yes ,Yes ,Yes ,,Totally agree,totally agree,totally agree,disagree,agree,totally agree,rather agree,totally agree,totally agree,Yes ,No, Do not know, Do not know,totally agree,Yes ,Yes ,Yes ,Yes ,Yes ,Yes ,Yes ,all the time,all the time,rather agree
hcw_8416,4,Senegal,35,Féminin,mari(é),baccalauréat,,2,Dakar,hopital de niveau III,Paramédical (e),,hopital,quotidiennement,,6,Yes ,Yes ,Yes ,,Totally agree,totally agree,totally agree,totally agree,totally agree,totally agree,rather agree,totally agree,rather agree,Yes ,Yes ,Yes ,Yes ,totally agree,Yes ,Yes ,Yes ,Yes ,Yes ,Yes ,Yes ,all the time,all the time,rather agree
hcw_8417,5,Senegal,31,Masculin,mari(é),licence,,1,Dakar,hopital de niveau II,Paramédical (e),,hopital,more than one day per week,,1,Yes ,Yes ,Yes ,,Totally agree,without opinion,totally agree,totally agree,totally agree,totally agree,without opinion,totally agree,totally agree,Yes ,Yes ,Yes ,Yes ,totally agree,Yes ,Yes ,Yes ,No,Yes ,No,Yes ,all the time,most of the time,agree
hcw_8418,6,Senegal,50,Féminin,mari(é),BFEM,,1,Dakar,hopital de niveau II,Paramédical (e),,hopital,quotidiennement,,20,No,Yes ,Yes ,,Totally agree,totally agree,disagree,totally agree,disagree,disagree,totally agree,totally agree,totally agree,Yes ,Yes ,Yes ,No,totally agree,Yes ,Yes ,Yes ,No,No,No,Yes ,all the time,most of the time,totally agree
hcw_8419,7,Senegal,22,Féminin,célibataire,licence,,0,Dakar,hopital de niveau III,Etudiant (e),,hopital,quotidiennement,,1,No,Yes ,No,,without opinion,without opinion,agree,totally agree,totally agree,totally agree,totally agree,totally agree,totally agree,Yes ,Yes ,Yes , Do not know,totally agree,Yes ,Yes ,Yes ,Yes ,No,No,Yes ,all the time,all the time,totally agree
hcw_8420,8,Senegal,56,Féminin,mari(é),baccalauréat,,0,Dakar,hopital de niveau III,Administratif et technique,,hopital,aucun contact avec les patients,,15,No,Yes ,No,,Totally agree,totally agree,disagree,agree,totally agree,totally agree,totally agree,totally agree,totally agree,Yes ,Yes ,Yes ,Yes ,agree,Yes ,Yes ,Yes ,Yes ,Yes ,No,Yes ,all the time,most of the time,agree
hcw_8421,9,Senegal,34,Féminin,divorcé(e),baccalauréat,,2,Dakar,hopital de niveau III,Administratif et technique,,centre de santécentre de santé,quotidiennement,,8,No,Yes ,No,,Totally agree,totally agree,rather agree,totally agree,totally agree,totally agree,totally agree,totally agree,totally agree,Yes ,Yes ,Yes ,Yes ,totally agree,Yes ,Yes ,Yes ,Yes ,Yes ,Yes ,Yes ,all the time,all the time,totally agree
hcw_8422,10,Senegal,42,Féminin,mari(é),licence,,5,Dakar,hopital de niveau III,Paramédical (e),,hopital,rarement,,5,No,Yes ,Yes ,,Totally agree,totally agree,agree,agree,totally agree,agree,totally agree,totally agree,totally agree,Yes ,Yes ,Yes ,Yes ,agree,Yes ,Yes ,Yes ,Yes ,No,Yes ,Yes ,all the time,most of the time,agree
hcw_8423,11,Senegal,37,Féminin,mari(é),BFEM,,1,Dakar,hopital de niveau III,Paramédical (e),,hopital,quotidiennement,,12,Yes ,Yes ,Yes ,,Totally agree,totally agree,agree,totally agree,agree,agree,totally agree,totally agree,totally agree,Yes ,Yes ,Yes ,Yes ,totally agree,Yes ,Yes ,Yes ,Yes ,Yes ,No,Yes ,all the time,all the time,totally agree
