Record ID,Age,Kindly indicate your gender,What is your current marital status?,Educational level completed,Kindly Specify,Number of child dependents in the household below 18 years,Which region do you work in?,What type of facility are you primarily stationed at?,What is your current job role?,Select the unit within the hospital that most closely matches the job that you do,Kindly indicate the professional group you belong to,How many days in the previous month did you have any direct patient contact (touching or speaking in-person)?,What is your current engagement type with the hospital?,For how many years have you been seeing patients as a professional?,"Have you previously worked in a clinical setting during an acute respiratory epidemic or pandemic, for example, H1N1 (2009)?","In a clinical setting, did you personally care for patients with suspected or confirmed infection caused by a novel respiratory pathogen for example, H1N1?",Has a patient with suspected or confirmed COVID-19 attended the hospital in which you work?,Have you personally cared for a patient with suspected or confirmed COVID-19 infection? ,What was your most recent type of contact with a suspected/confirmed COVID-19 case?,I am confident that the hospital where I work can MANAGE CURRENT patient demand related to COVID-19,I am confident that the hospital where I work can CONTINUE TO MANAGE patient demand related to COVID-19 over the next 3 months,"I have received general training for infection, prevention, and control procedures for communicable diseases",I have received sufficient training in the Infection Prevention and Control (IPC)  practices specifically for COVID-19,I am confident in my ability to correctly don and doff personal protective equipment to prevent transmission of COVID-19 to others and myself,"I am confident that I am able to follow recommended procedures related to personal protective equipment (PPE) for COVID-19 e.g. appropriate use and disposal of gloves, apron and fluid resistant surgical mask",I consider that the implementation of protective procedures at work are effective to prevent the spread of COVID-19 in my hospital,Following the IPC recommendations will protect me from becoming ill with COVID-19,Following recommended IPC procedures adds significant additional strain to my workload,"I will always use the recommended personal protective equipment (medical mask, eye protection, gown and gloves) when taking care of patients with suspected or confirmed COVID-19 when I have access to these",There are clear policies and protocols in my hospital for everyone to follow related to IPC procedures for COVID-19,"I can easily access personal protective equipment (PPE) in line with standard infection control precautions, such as gloves, apron and masks, for COVID-19 in the hospital where I work",In my hospital there are dedicated isolation facilities for patients with COVID-19,"I know who to contact if I have trouble with PPE, or if I have a body fluid exposure/ unprotected contact with a confirmed case of COVID-19","The hospital where I work receives good support from national/ regional/municipal/district/assembly/local public health authorities, who provide guidance and training on how to manage COVID-19","Most of my colleagues regularly follow infection, prevention and control measures (for example, regular hand washing, use of personal protective equipment, proper disposal of equipment)","It is expected that in my role as a healthcare professional, I will follow IPC measures",I am encouraged and supported by other staff to apply recommendedIPC measures,I am concerned about the risk to myself of becoming ill with COVID-19,I am concerned about the risk to my family related to COVID-19 because of my job role,I am afraid of looking after patients who are ill with COVID-19,I accept that the risk of getting COVID-19 is part of my job,Whether I get infected with COVID-19 or not is within my control,The health facility where I work has the capacity to manage COVID-19,The management of the health facility where I work are being honest with staff when managing COVID-19,The management of the health facility where I work would act in the best interest of its staff when managing COVID-19
1,64,Male,"Living with another (Married, Partnership)",Masters,,3,GREATER ACCRA,Private Clinic,Pharmacist,Pharmacy,,Almost every day of the month,Fulltime,30,Yes,No,No,No,,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somwhat agree,Somwhat agree,Strongly agree
2,37,Male,"Living with another (Married, Partnership)",Ph.D./DrPH,,2,BONO,Private Hospital,Medical Doctor,Obstetrics and Gynecology/ Maternity,,Almost every day of the month,Casual or locum staff,4,Unsure,No,No,No,,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Somwhat agree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somwhat agree,Strongly disagree,Strongly disagree,Strongly agree,Somwhat agree,Somwhat agree
3,,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,29,,Living alone,First Degree,,0,GREATER ACCRA,Private Clinic,Pharmacist,Pharmacy,,Almost every day of the month,Fulltime,5,No,No,Yes,Yes,There are positive COVID-19 patients in the same facility but no direct contact,Strongly agree,Somwhat agree,Somwhat agree,Strongly agree,Strongly disagree,Strongly agree,Somwhat agree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Somwhat agree,Strongly agree,Strongly agree,Strongly agree,Somwhat agree,Strongly agree,Somwhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat disagree,Somwhat agree,Somwhat agree,Somewhat disagree
5,33,Female,"Living with another (Married, Partnership)",Ph.D./DrPH,,2,GREATER ACCRA,Private Clinic,Pharmacist,Pharmacy,,Almost every day of the month,Casual or locum staff,3,No,No,Yes,Unsure,,Strongly disagree,Strongly disagree,Somwhat agree,Somewhat disagree,Somwhat agree,Somwhat agree,Somewhat disagree,Somwhat agree,Somewhat disagree,Somwhat agree,Strongly agree,Somwhat agree,Somewhat disagree,Somwhat agree,Somewhat disagree,Somwhat agree,Strongly agree,Somewhat disagree,Somwhat agree,Somwhat agree,Somwhat agree,Somewhat disagree,Somwhat agree,Strongly disagree,Somewhat disagree,Somwhat agree
6,27,,Living alone,First Degree,,0,GREATER ACCRA,Private Clinic,Pharmacist,Pharmacy,,Almost every day of the month,Fulltime,4,No,No,Yes,Yes,Direct Contact with COVID-19 patients,Strongly agree,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somwhat agree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Somwhat agree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somwhat agree,Strongly agree,Somewhat disagree,Somwhat agree,Somwhat agree,Somwhat agree,Somewhat disagree,Neither agree nor disagree
7,35,Male,"Living with another (Married, Partnership)",First Degree,,0,GREATER ACCRA,District hospital,Allied health professionals,Pharmacy,Health,Just about one day during each week,Prefer not to say,1,No,No,Yes,Yes,Direct Contact with COVID-19 patients,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Strongly agree,Somwhat agree,Somwhat agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat disagree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree
8,52,Female,"Living with another (Married, Partnership)",Masters,,1,GREATER ACCRA,Teaching hospital,Pharmacist,Pharmacy,,Almost every day of the month,Fulltime,22,Yes,No,Yes,Unsure,,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somwhat agree,Somwhat agree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somwhat agree,Strongly agree,Somwhat agree,Somwhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree
9,29,Female,"Living with another (Married, Partnership)",First Degree,,0,ASHANTI,Teaching hospital,Nurse,OPD,,Almost every day of the month,Fulltime,4,No,No,Yes,Yes,There are positive COVID-19 patients in the same facility but no direct contact,Somewhat disagree,Somewhat disagree,Strongly agree,Somwhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Somwhat agree,Strongly agree,Somewhat disagree,Strongly disagree,Strongly agree,Strongly agree,Somwhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat disagree,Somwhat agree,Somwhat agree,Somewhat disagree
10,28,,Living alone,First Degree,,0,ASHANTI,Teaching hospital,Medical Doctor,Surgical Unit,,Almost every day of the month,Long-Term Contract (>12mths),4,No,No,Yes,No,,Somewhat disagree,Somewhat disagree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Neither agree nor disagree,Somwhat agree,Strongly disagree,Strongly agree,Somwhat agree,Somewhat disagree,Strongly agree,Somwhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somwhat agree,Strongly agree,Somwhat agree,Neither agree nor disagree,Somewhat disagree
