cid,record_id,Country,age,gender,marital,educ,educ_other,child_dependants,Regions,healthtype_2,role,role_other,healthtype,If_Yes,jobrole,train_years,experience_1,experience_2,experience_3,experience_4,service_demand_1,service_demand_2,skills_1,skills_2,skills_3,belief,conseq_beliefs_1,conseq_beliefs_2,conseq_beliefs_3,intentions,environment_context_1,environment_context_2,environment_context_3,environment_context_4,social_influence_1,social_influence_2,social_influence_3,social_influence_4,emotion_1,emotion_2,emotion_3,emotion_4,emotion_5,trust_1,trust_2,trust_3
hcw_8414,1,Uganda,41,Male,Single (never married),NULL,NULL,0,Kampala,Public,Medical doctor,NULL,Palliative Care,rarely,Fulltime,NULL,No,No,No,No,somewhat agree,neither agree nor disagree,agree,agree,agree,strongly agree,agree,strongly agree,disagree,strongly agree,strongly agree,strongly agree,strongly agree,agree,agree,strongly agree,agree,neither agree nor disagree,agree,agree,agree,somewhat agree,disagree,disagree,strongly disagree,strongly disagree
hcw_8415,2,Uganda,50,Male,Living with partner,NULL,NULL,4,Kampala,Private,Midwife,NULL,paediatric,daily,casual or locum staff,NULL,Yes,No,Yes,No,agree,agree,agree,strongly agree,agree,agree,agree,agree,agree,strongly agree,strongly agree,agree,strongly agree,strongly agree,agree,strongly agree,strongly agree,somewhat agree,strongly agree,strongly agree,strongly agree,somewhat agree,disagree,strongly disagree,disagree,disagree
hcw_8416,3,Uganda,35,Male,Married,NULL,NULL,7,Kampala,Public,Medical doctor,NULL,Medical unit,daily,Fulltime,NULL,Yes,Yes,Yes,Yes,neither agree nor disagree,neither agree nor disagree,somewhat agree,somewhat agree,somewhat agree,strongly agree,disagree,strongly agree,somewhat agree,strongly agree,somewhat agree,somewhat agree,strongly disagree,neither agree nor disagree,agree,strongly agree,agree,disagree,strongly agree,strongly agree,agree,somewhat disagree,strongly disagree,somewhat disagree,strongly disagree,strongly disagree
hcw_8417,4,Uganda,34,Female,Married,NULL,NULL,0,Kampala,Public,Medical doctor,NULL,Medical unit,more than one day per week,part time,NULL,Yes,Yes,Yes,Yes,agree,somewhat disagree,strongly agree,strongly agree,strongly agree,strongly agree,agree,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree,agree,strongly disagree,agree,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree,somewhat agree,somewhat agree,somewhat disagree,somewhat disagree
hcw_8418,5,Uganda,38,Male,Separated,NULL,NULL,4,Central 1,Public,Social worker/counsellor,NULL,Palliative Care,more than one day per week,part time,NULL,No,No,Unsure,No,somewhat disagree,somewhat disagree,somewhat agree,somewhat disagree,somewhat disagree,agree,disagree,agree,agree,agree,strongly agree,somewhat disagree,disagree,disagree,strongly disagree,strongly agree,agree,disagree,strongly agree,strongly agree,strongly agree,strongly agree,somewhat agree,strongly disagree,somewhat agree,somewhat disagree
hcw_8419,6,Uganda,33,Male,Married,NULL,NULL,3,Central 1,Public,Other,NULL,Laboratory,NA,Fulltime,NULL,No,No,Yes,No,somewhat agree,somewhat agree,somewhat agree,somewhat agree,neither agree nor disagree,agree,somewhat agree,agree,strongly agree,agree,somewhat agree,somewhat agree,somewhat agree,neither agree nor disagree,somewhat agree,strongly agree,agree,somewhat agree,agree,strongly agree,strongly agree,neither agree nor disagree,somewhat disagree,somewhat disagree,disagree,somewhat disagree
hcw_8420,7,Uganda,31,Male,Married,NULL,NULL,2,Central 1,Private,Other,NULL,Laboratory,NA,part time,NULL,No,No,Yes,No,strongly agree,strongly agree,strongly agree,strongly disagree,strongly agree,strongly agree,strongly agree,agree,agree,strongly agree,strongly disagree,strongly agree,strongly disagree,neither agree nor disagree,strongly agree,strongly agree,strongly agree,somewhat disagree,strongly agree,strongly agree,strongly disagree,strongly agree,strongly disagree,strongly disagree,agree,agree
hcw_8421,8,Uganda,40,Female,Married,NULL,NULL,2,Kampala,Private,Other,NULL,Palliative Care,NA,Fulltime,NULL,No,No,No,No,disagree,disagree,strongly disagree,strongly disagree,strongly disagree,strongly agree,agree,strongly agree,disagree,somewhat agree,agree,somewhat disagree,strongly disagree,somewhat agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,strongly disagree,somewhat agree,somewhat agree
hcw_8422,9,Uganda,38,Male,Single (never married),NULL,NULL,4,Kampala,Private,Medical doctor,NULL,Medical unit,daily,Fulltime,NULL,No,Yes,Yes,Yes,agree,somewhat agree,agree,strongly agree,agree,agree,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree,agree,neither agree nor disagree,strongly agree,strongly agree,strongly agree,neither agree nor disagree,strongly agree,strongly agree,somewhat agree,somewhat agree,somewhat agree,somewhat disagree,somewhat disagree,somewhat disagree
hcw_8423,10,Uganda,54,Male,Married,NULL,NULL,5,Kampala,Private,Social worker/counsellor,NULL,Palliative Care,daily,Fulltime,NULL,No,No,No,No,agree,disagree,somewhat agree,somewhat agree,somewhat agree,somewhat agree,somewhat agree,agree,somewhat agree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,strongly disagree,neither agree nor disagree,somewhat agree,somewhat agree,somewhat agree,somewhat agree,somewhat agree,somewhat agree,agree,somewhat agree,somewhat agree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree
