cid,record_id,Country,age,gender,marital,educ,educ_other,child_dependants,Regions,healthtype_2,role,role_other,healthtype,If_Yes,jobrole,train_years,experience_1,experience_2,experience_3,experience_4,service_demand_1,service_demand_2,skills_1,skills_2,skills_3,belief,conseq_beliefs_1,conseq_beliefs_2,conseq_beliefs_3,intentions,environment_context_1,environment_context_2,environment_context_3,environment_context_4,social_influence_1,social_influence_2,social_influence_3,social_influence_4,emotion_1,emotion_2,emotion_3,emotion_4,emotion_5,trust_1,trust_2,trust_3
hcw_8414,1,Uganda,41,1,1,NULL,NULL,6,Kampala,1,2,NULL,11,4,1,NULL,2,2,2,2,5,4,6,6,6,7,6,7,2,7,7,7,7,6,6,7,6,4,6,6,6,5,2,2,1,1
hcw_8415,2,Uganda,50,1,2,NULL,NULL,4,Kampala,2,5,NULL,4,1,3,NULL,1,2,1,2,6,6,6,7,6,6,6,6,6,7,7,6,7,7,6,7,7,5,7,7,7,5,2,1,2,2
hcw_8416,3,Uganda,35,1,3,NULL,NULL,7,Kampala,1,2,NULL,1,1,1,NULL,1,1,1,1,4,4,5,5,5,7,2,7,5,7,5,5,1,4,6,7,6,2,7,7,6,3,1,3,1,1
hcw_8417,4,Uganda,34,2,3,NULL,NULL,6,Kampala,1,2,NULL,1,2,2,NULL,1,1,1,1,6,3,7,7,7,7,6,7,7,7,7,7,6,1,6,7,7,7,7,7,7,7,5,5,3,3
hcw_8418,5,Uganda,38,1,5,NULL,NULL,4,Central 1,1,8,NULL,11,2,2,NULL,2,2,3,2,3,3,5,3,3,6,2,6,6,6,7,3,2,2,1,7,6,2,7,7,7,7,5,1,5,3
hcw_8419,6,Uganda,33,1,3,NULL,NULL,3,Central 1,1,10,NULL,10,NULL,1,NULL,2,2,1,2,5,5,5,5,4,6,5,6,7,6,5,5,5,4,5,7,6,5,6,7,7,4,3,3,2,3
hcw_8420,7,Uganda,31,1,3,NULL,NULL,2,Central 1,2,10,NULL,10,NULL,2,NULL,2,2,1,2,7,7,7,1,7,7,7,6,6,7,1,7,1,4,7,7,7,3,7,7,1,7,1,1,6,6
hcw_8421,8,Uganda,40,2,3,NULL,NULL,2,Kampala,2,10,NULL,11,NULL,1,NULL,2,2,2,2,2,2,1,1,1,7,6,7,2,5,6,3,1,5,6,6,6,6,6,6,6,6,6,1,5,5
hcw_8422,9,Uganda,38,1,1,NULL,NULL,4,Kampala,2,2,NULL,1,1,1,NULL,2,1,1,1,6,5,6,7,6,6,7,7,7,7,7,7,6,4,7,7,7,4,7,7,5,5,5,3,3,3
hcw_8423,10,Uganda,54,1,3,NULL,NULL,5,Kampala,2,8,NULL,11,1,1,NULL,2,2,2,2,6,2,5,5,5,5,5,6,5,4,4,4,1,4,5,5,5,5,5,5,6,5,5,4,4,4
hcw_8424,11,Uganda,28,1,1,NULL,NULL,2,Kampala,1,6,NULL,3,1,1,NULL,1,2,1,1,6,6,7,6,6,6,1,6,6,7,6,6,6,2,6,7,7,5,7,7,1,7,2,6,6,6
hcw_8425,12,Uganda,30,2,3,NULL,NULL,2,Kampala,2,2,NULL,4,1,1,NULL,3,3,1,1,2,2,5,6,5,5,2,5,5,6,2,2,3,4,3,6,5,5,6,6,6,6,2,5,4,4
hcw_8426,13,Uganda,63,2,3,NULL,NULL,3,Kampala,2,2,NULL,4,1,1,NULL,1,2,1,2,6,7,6,6,7,7,6,6,7,6,6,5,7,5,5,6,5,5,6,6,6,5,5,2,1,2
hcw_8427,14,Uganda,43,2,3,NULL,NULL,4,Kampala,1,1,NULL,2,1,1,NULL,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,3,2,2,3,1,3,3,1,1,4,4,1,2,1,1
hcw_8428,15,Uganda,62,1,7,NULL,NULL,6,Kampala,1,1,NULL,1,2,2,NULL,2,2,1,1,1,1,3,6,1,2,7,6,2,6,2,6,6,2,5,6,5,3,6,6,5,5,4,2,1,1
hcw_8429,16,Uganda,35,2,3,NULL,NULL,4,Kampala,1,9,NULL,1,NULL,1,NULL,2,2,1,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6
hcw_8430,17,Uganda,30,1,3,NULL,NULL,4,Kampala,1,6,NULL,1,1,1,NULL,1,2,1,1,5,5,2,2,5,5,2,6,6,7,2,2,7,2,5,7,5,1,7,7,7,7,5,5,5,5
hcw_8431,18,Uganda,49,2,3,NULL,NULL,2,Kampala,1,1,NULL,11,1,1,NULL,2,1,1,2,5,5,7,7,6,7,6,7,7,7,7,7,7,6,2,7,7,7,7,7,1,7,7,3,2,2
hcw_8432,19,Uganda,50,1,3,NULL,NULL,1,Kampala,1,6,NULL,5,1,1,NULL,3,3,1,1,7,7,7,7,7,7,7,6,1,7,7,7,7,7,6,7,7,2,7,7,2,7,7,2,2,1
hcw_8433,20,Uganda,31,2,1,NULL,NULL,7,Kampala,1,1,NULL,9,1,2,NULL,1,2,1,1,1,1,3,1,1,1,1,1,1,1,1,2,1,2,6,6,6,6,1,1,1,1,1,1,1,1
hcw_8434,21,Uganda,45,2,3,NULL,NULL,3,Kampala,1,2,NULL,6,1,1,NULL,2,2,1,2,7,7,6,6,5,7,6,7,7,7,5,2,7,4,4,6,6,3,7,6,6,6,6,3,4,3
hcw_8435,22,Uganda,34,1,3,NULL,NULL,3,Kampala,1,6,NULL,11,1,1,NULL,2,2,1,2,6,6,6,6,6,7,7,7,2,7,6,7,7,7,6,6,6,5,7,7,5,7,5,2,2,2
hcw_8436,23,Uganda,42,2,3,NULL,NULL,5,Kampala,1,1,NULL,1,2,1,NULL,1,1,1,1,6,4,6,6,6,7,6,6,7,6,4,6,5,4,4,6,6,4,5,5,4,6,6,5,5,5
hcw_8437,24,Uganda,31,1,3,NULL,NULL,3,Kampala,1,5,NULL,11,NULL,1,NULL,2,2,2,2,3,3,6,6,6,6,6,6,2,6,6,2,2,2,6,6,6,6,6,6,7,6,2,1,2,2
hcw_8438,25,Uganda,36,2,3,NULL,NULL,3,Kampala,1,9,NULL,11,1,1,NULL,2,2,1,2,6,6,6,6,6,6,6,6,6,6,7,7,6,6,6,6,6,2,7,7,6,6,6,1,1,1
hcw_8439,26,Uganda,36,2,3,NULL,NULL,3,Kampala,1,9,NULL,11,1,1,NULL,2,2,1,2,6,6,6,6,6,6,6,6,6,6,7,7,6,6,6,6,6,2,7,7,6,6,6,1,1,1
hcw_8440,27,Uganda,28,1,1,NULL,NULL,6,Central 1,1,6,NULL,1,1,1,NULL,2,2,1,2,6,2,6,6,6,7,6,6,6,7,6,NULL,6,6,6,7,6,6,7,7,6,6,6,1,1,1
hcw_8441,28,Uganda,25,1,1,NULL,NULL,4,Kampala,1,7,Laboratory Technician,10,5,1,NULL,2,2,1,2,7,7,1,6,7,7,5,1,6,7,6,6,7,1,7,7,5,1,7,7,1,7,1,1,6,6
hcw_8442,29,Uganda,54,1,3,NULL,NULL,6,Kampala,1,5,NULL,8,1,1,NULL,1,2,1,1,2,2,5,6,3,6,2,5,5,7,5,6,1,5,5,7,7,2,7,7,7,6,6,2,5,3
hcw_8443,30,Uganda,34,1,3,NULL,NULL,4,Kampala,2,2,NULL,4,2,1,NULL,2,2,1,2,1,1,5,7,3,6,1,7,5,6,1,2,1,1,5,7,5,7,7,7,7,7,5,6,5,5
hcw_8444,31,Uganda,59,1,3,NULL,NULL,1,Kampala,1,5,NULL,6,1,1,NULL,2,2,2,2,6,2,6,6,7,6,5,6,6,7,7,5,6,1,6,7,7,2,6,6,7,6,6,2,2,2
hcw_8445,32,Uganda,45,2,2,NULL,NULL,4,Kampala,1,10,NULL,11,NULL,1,NULL,2,2,3,2,3,2,7,7,6,6,3,7,3,6,7,5,6,3,6,6,7,3,6,6,5,6,7,5,5,5
