record_id,country,age,gender,marital,,,child_dependants,healthtype_3,healthtype_2,role,role_other,healthtype,screening_2,jobrole,,experience_1,experience_2,experience_3,experience_4,prevention_1,prevention_2,skills_1,skills_2,belief,conseq_beliefs_1,conseq_beliefs_2,conseq_beliefs_3,intentions,environment_context_1,environment_context_2,environment_context_3,environment_context_4,supplies_1,social_influence_1,social_influence_2,social_influence_3,emotion_1,emotion_2,emotion_3,emotion_4,emotion_5,trust_1,trust_2,trust_3,
1,Uganda,41,Female,Single (never married),,,None,Kampala,private,Medical doctor,,Palliative Care,rarely,Fulltime,,No,No,No,No,Yes,Yes,agree,agree,strongly agree.,agree,strongly agree.,disagree,strongly agree.,strongly agree.,strongly agree.,strongly agree.,agree,strongly agree.,agree,strongly agree.,agree,agree,agree,agree,somewhat agree,disagree,most of the time,all of the time,all of the time,
2,Uganda,50,Female,Living with partner,,,4,Kampala,public,Midwife,,paediatric,daily,casual or locum staff,,Yes,No,Yes,No,Yes,NA,agree,strongly agree.,agree,agree,agree,agree,strongly agree.,strongly agree.,agree,strongly agree.,strongly agree.,strongly agree.,agree,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,somewhat agree,disagree,all of the time,most of the time,most of the time,
3,Uganda,35,Female,Married,,,Prefer not to say,Kampala ,private,Medical doctor,,Medical unit,daily,Fulltime,,Yes,Yes,Yes,Yes,Yes,Yes,somewhat agree,somewhat agree,strongly agree.,disagree,strongly agree.,somewhat agree,strongly agree.,somewhat agree,somewhat agree,strongly disagree,neither agree nor disagree,strongly agree.,agree,strongly agree.,agree,strongly agree.,strongly agree.,agree,somewhat disagree,strongly disagree,more than half of the time,all of the time,all of the time,
4,Uganda,34,Male,Married,,,None,Kampala,private,Medical doctor,,Medical unit,more than one day per week,part time,,Yes,Yes,Yes,Yes,Yes,Yes,strongly agree.,strongly agree.,strongly agree.,agree,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,agree,strongly disagree,somewhat agree,agree,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,somewhat agree,some of the time,more than half of the time,more than half of the time,
5,Uganda,38,Female,Separated,,,4,Wakiso,private,Social worker/counsellor,,Palliative Care,more than one day per week,part time,,No,No,Unsure,No,Yes,Yes,somewhat agree,somewhat disagree,agree,disagree,agree,agree,agree,strongly agree.,somewhat disagree,disagree,disagree,strongly agree.,strongly disagree,strongly agree.,agree,strongly agree.,strongly agree.,strongly agree.,strongly agree.,somewhat agree,NA,some of the time,more than half of the time,
6,Uganda,33,Female,Married,,,3,Wakiso,private,Other,,Laboratory,NA,Fulltime,,No,No,Yes,No,Yes,Yes,somewhat agree,somewhat agree,agree,somewhat agree,agree,strongly agree.,agree,somewhat agree,somewhat agree,somewhat agree,neither agree nor disagree,NA,somewhat agree,strongly agree.,agree,agree,strongly agree.,strongly agree.,neither agree nor disagree,somewhat disagree,more than half of the time,most of the time,more than half of the time,
7,Uganda,31,Female,Married,,,2,Entebbe ,public,Other,,Laboratory,NA,part time,,No,No,Yes,No,Yes,NA,strongly agree.,strongly disagree,strongly agree.,strongly agree.,agree,agree,strongly agree.,strongly disagree,strongly agree.,strongly disagree,neither agree nor disagree,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly disagree,strongly agree.,strongly disagree,all of the time,at no time,at no time,
8,Uganda,40,Male,Married,,,2,National,public,Other,,Palliative Care,NA,Fulltime,,No,No,No,No,Yes,No,strongly disagree,strongly disagree,strongly agree.,agree,strongly agree.,disagree,somewhat agree,agree,somewhat disagree,strongly disagree,somewhat agree,strongly disagree,agree,agree,agree,agree,agree,agree,agree,agree,all of the time,some of the time,some of the time,
9,Uganda,38,Female,Single (never married),,,4,Kampala,public,Medical doctor,,Medical unit,daily,Fulltime,,No,Yes,Yes,Yes,Yes,Yes,agree,strongly agree.,agree,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,agree,neither agree nor disagree,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,somewhat agree,somewhat agree,somewhat agree,more than half of the time,more than half of the time,more than half of the time,
10,Uganda,54,Female,Married,,,5+,Mulago Hospital,public,Social worker/counsellor,,Palliative Care,daily,Fulltime,,No,No,No,No,NA,NA,somewhat agree,somewhat agree,somewhat agree,somewhat agree,NA,somewhat agree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,strongly disagree,neither agree nor disagree,strongly disagree,somewhat agree,somewhat agree,somewhat agree,somewhat agree,somewhat agree,agree,somewhat agree,somewhat agree,less than half of the time,less than half of the time,less than half of the time,
