d_age_i,gen,d_edu_c_o,d_marital_c_u,d_chdn_i,e_ever_worked_c_u,e_ever_cared_c_u,e_ever_contact_c_u,e_do_care_c_o,e_contact_type_c_o,e_aerosol_c_o,i_n95_c_o,i_mask_c_o,i_hand_hyg_c_o,i_gown_c_o,i_apron_c_o,i_full_suit_c_o,i_gloves_c_o,i_eye_protect_c_o,i_sing_use_eqps_c_o,s_can_followc_o,s_can_protect_c_0,s_is_proected,s_is_straining_c_o,s_will_use_c_o,s_proto_exists_c_o,s_can_access_ppe_c_o,s_has_iso_fac,s_know_cont_c_o,s_get_supp_c_o,s_coll_follow_c_o,s_expected_i_fllw_c_o,s_enco_supp_c_o,s_risk_concd_c_o,s_fam_concd_c_o,s_is_afraid_c_o,s_accept_c_o,s_my_ctrl_c_o,f_cmpt_c_o,f_hnst_c_o,f_best_int_c_o,country
20,Female,First Degree,"Living with another (Married, Partnership)",3,Yes,Yes,Yes,Yes,There are positive COVID-19 patients in the same facility but no direct contact,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Strongly agree,Strongly agree,Strongly agree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Ghana
20,Male,First Degree,Prefer not to say,0,No,Yes,Yes,Yes,Direct Contact with COVID-19 patients,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somwhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somwhat agree,Somewhat disagree,Somwhat agree,Somwhat agree,Somewhat disagree,Somwhat agree,Somewhat disagree,Strongly disagree,Somwhat agree,Neither agree nor disagree,Ghana
21,Female,First Degree,Living alone,1,No,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Ghana
21,Male,First Degree,Living alone,0,No,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Strongly disagree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Strongly agree,Strongly agree,Ghana
21,NA,First Degree,Living alone,0,No,No,No,Unsure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly agree,Somwhat agree,Somwhat agree,Strongly agree,NA,Neither agree nor disagree,Somwhat agree,Neither agree nor disagree,Somwhat agree,Neither agree nor disagree,Somwhat agree,Neither agree nor disagree,Somwhat agree,Strongly agree,Somwhat agree,Somwhat agree,Strongly agree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Ghana
22,Female,First Degree,Living alone,0,No,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat disagree,Somwhat agree,Somwhat agree,Neither agree nor disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Somwhat agree,Neither agree nor disagree,Strongly disagree,Somwhat agree,Strongly disagree,Somwhat agree,Somwhat agree,Neither agree nor disagree,Somwhat agree,Somwhat agree,Somwhat agree,Somewhat disagree,Somewhat disagree,Ghana
22,Female,First Degree,Living alone,8,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly agree,Strongly agree,Somwhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Somwhat agree,Neither agree nor disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Somwhat agree,Strongly agree,Strongly agree,Ghana
22,Female,Post-Secondary School/SSS/SHS Certificate,Living alone,0,Unsure,Unsure,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somwhat agree,Strongly agree,Strongly agree,Strongly agree,Somwhat agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Ghana
22,Male,Diploma,Living alone,0,Unsure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Ghana
22,Male,First Degree,Living alone,0,No,No,Unsure,Unsure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Ghana
