record_id,d_carer_b,consent,willing,d_age_i,gender,d_marital_c_u,d_edu_c_o,d_educ_other,d_chdn_i,d_region_c_o,d_hosp_c_u,d_job_role_c_u,d_work_unit_c_u,d_contact_freq_i,d_job_type_c_u,d_training_years_i,e_ever_worked_c_u,e_ever_cared_c_u,e_ever_contact_c_u,e_do_care_c_o,e_contact_type_c_o,e_aerosol_c_o,i_n95_c_o,i_mask_c_o,i_hand_hyg_c_o,i_gown_c_o,i_apron_c_o,i_full_suit_c_o,i_gloves_c_o,i_eye_protect_c_o,i_sing_use_eqps_c_o,s_can_manage_c_o,s_cont_mge_c_o,s_ipc_skill_c_o,s_received_training,s_can_don_c_o,s_can_followc_o,s_can_protect_c_0,s_is_proected,s_is_straining_c_o,s_will_use_c_o,s_proto_exists_c_o,s_can_access_ppe_c_o,s_has_iso_fac,s_know_cont_c_o,s_get_supp_c_o,s_coll_follow_c_o,s_expected_i_fllw_c_o,s_enco_supp_c_o,s_risk_concd_c_o,s_fam_concd_c_o,s_is_afraid_c_o,s_accept_c_o,s_my_ctrl_c_o,s_alcohol_c_o,r_n95_c_o,r_surg_mask_c_o,r_fluid_gown_c_o,r_disp_apron_c_o,r_disp_gloves_c_o,r_full_suit_c_o,r_eye_prot_c_o,w_cheer_c_o,w_calm_c_o,w_active_c_o,w_rested_c_o,w_interest_c_o,f_cmpt_c_o,f_hnst_c_o,f_best_int_c_o,e_c19_exp_c_o,e_risk_assess_c_o,e_risk_level_b,e_did_isolate_b,e_isolate_days_ch,e_exp_loc_c_u,e_c19_test_b,e_test_results_c_o,e_pos_mgmt_c_u
637,1,1,1,42,2,2,5,,4,7,5,3,9,1,6,15,0,0,1,1,1,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,3,3,3,3,3,2,2,2,3,,,,,,1,0,
3696,1,1,1,31,2,1,2,,0,7,4,9,7,1,6,3,2,2,2,2,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,3,3,3,3,3,2,2,2,3,,,,,,1,0,
4499,1,1,1,28,1,1,5,,0,7,4,1,2,1,6,5,0,1,1,1,2,0,1,0,1,1,0,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,0,2,1,4,4,4,4,4,4,4,4,3,3,3,3,3,2,2,2,3,,,,,,1,0,
2115,1,1,1,32,,2,4,Tertiary ,4,7,4,9,7,1,6,2,1,2,2,1,3,,,,,,,,,,,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,3,3,3,3,3,2,2,2,3,,,,,,1,0,
2385,1,1,1,29,,1,4,tertiary,2,5,5,9,7,1,6,3,2,1,2,2,,,,,,,,,,,,2,1,2,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,3,3,3,3,3,2,2,2,3,,,,,,1,0,
4621,1,1,1,29,1,0,4,,0,7,4,1,5,3,2,4,0,0,1,1,1,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,3,3,3,3,3,2,2,2,3,,,,,,0,,
281,1,1,1,22,,1,4,,3,5,6,9,1,1,1,2,0,0,0,0,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,3,3,3,3,3,2,2,2,3,,,,,,0,,
2020,1,1,1,29,,1,3,,1,3,4,9,7,1,6,1,2,0,2,1,,,,,,,,,,,,2,2,2,2,2,2,2,2,-2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,3,3,3,3,3,2,2,2,3,,,,,,0,,
2022,0,1,1,29,,1,3,,1,3,4,9,7,1,6,1,2,0,2,1,,,,,,,,,,,,2,2,2,2,2,2,2,2,-2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,3,3,3,3,3,2,2,2,3,,,,,,0,,
2023,1,1,1,29,,1,3,,1,3,4,9,7,1,6,1,1,2,0,0,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,1,4,4,4,4,4,4,4,4,3,3,3,3,3,2,2,2,3,,,,,,0,,
2024,1,1,1,29,,1,3,,1,3,4,9,7,1,6,1,2,2,0,0,,,,,,,,,,,,2,2,2,2,2,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,3,3,3,3,3,2,2,2,3,,,,,,0,,
829,1,1,1,55,1,0,5,,4,14,2,3,12,1,6,22,1,1,1,0,,,,,,,,,,,,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,1,-1,2,-2,4,4,4,4,4,4,4,4,3,3,3,3,3,2,2,2,2,,,,,,1,0,
3618,1,1,1,29,2,2,5,,0,7,2,1,5,2,2,4,0,0,1,1,2,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,-1,2,2,2,2,2,2,2,2,2,-1,-1,-2,2,2,4,4,4,4,4,4,4,4,3,3,3,3,3,2,2,2,2,,,,,,1,0,
1066,1,1,1,32,1,2,3,,1,7,1,5,6,1,6,6,0,0,1,1,2,0,1,0,1,0,0,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-2,2,2,4,4,4,4,4,4,4,4,3,3,3,3,3,2,2,2,2,,,,,,1,0,
143,1,1,1,25,2,1,4,,0,2,4,9,13,1,3,1,0,0,0,0,,,,,,,,,,,,2,2,2,2,2,2,2,2,-2,2,2,2,2,2,2,2,2,2,2,-2,-2,2,2,4,4,4,4,4,4,4,4,3,3,3,3,3,2,2,2,2,,,,,,1,0,
1366,1,1,1,27,1,1,3,,1,1,4,4,5,1,6,2,1,1,1,1,2,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-2,2,2,4,4,4,4,4,4,4,4,3,3,3,3,3,2,2,2,2,,,,,,1,0,
579,1,1,1,40,2,2,4,,3,15,7,1,1,1,2,10,1,0,1,0,,,,,,,,,,,,2,2,2,2,2,2,2,2,-1,2,2,2,2,2,0,2,2,2,2,2,-1,1,2,4,4,4,4,4,4,4,4,3,3,3,3,3,2,2,2,2,,,,,,0,,
2840,1,1,1,29,1,1,4,,0,15,6,1,3,1,6,3,0,0,0,0,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-2,-2,-2,4,4,4,4,4,4,4,4,3,3,3,3,3,2,2,2,2,,,,,,0,,
1096,1,1,1,,,2,4,,5,14,6,9,11,1,6,13,0,0,1,1,1,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-2,2,2,4,4,4,4,4,4,4,4,3,3,3,3,3,2,2,2,2,,,,,,0,,
4605,1,1,1,38,2,1,4,MBCHB,4,7,4,1,1,4,0,10,1,1,1,1,1,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,3,3,3,3,3,2,2,2,2,,,,,,0,,
1300,1,1,1,28,1,2,4,,1,7,8,3,12,1,5,6,1,1,1,1,1,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,3,3,3,3,3,2,2,2,2,,,,,,0,,
1825,1,1,1,24,,1,4,,0,7,8,3,12,1,4,2,0,0,0,0,,,,,,,,,,,,2,2,2,2,2,2,2,2,-2,2,2,2,-1,0,0,2,2,2,-2,-2,-2,-2,2,4,4,4,4,4,4,4,4,3,3,3,3,3,2,2,2,2,,,,,,0,,
4471,1,1,1,46,2,2,5,,3,5,2,1,2,1,6,25,1,1,1,0,,,,,,,,,,,,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,1,1,-1,0,-1,-1,-1,4,4,4,4,4,4,4,4,3,3,3,3,3,2,2,2,2,,,,,,0,,
4472,1,1,1,46,2,2,5,,3,5,2,1,2,1,6,25,1,1,1,1,1,,,,,,,,,,,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,1,1,1,0,-1,-1,0,0,4,4,4,4,4,4,4,4,3,3,3,3,3,2,2,2,2,,,,,,0,,
1697,1,1,1,30,,2,4,,1,5,4,9,11,1,6,5,0,0,0,0,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,3,3,3,3,3,2,2,2,2,,,,,,0,,
1159,1,1,1,22,2,1,4,,0,2,7,9,13,3,4,1,0,0,2,2,,,,,,,,,,,,2,2,2,2,2,2,2,2,-2,2,2,2,2,2,2,2,2,2,-2,-2,-2,2,2,4,4,4,4,4,4,4,4,3,3,3,3,3,2,2,2,2,,,,,,0,,
3599,1,1,1,36,2,2,5,,1,2,2,1,2,1,6,4,0,0,1,1,2,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,-2,2,2,2,2,2,2,2,2,2,1,1,-2,2,2,4,4,4,4,4,4,4,4,3,3,3,3,3,2,2,2,2,,,,,,0,,
