record_id,age,gender,role,role_other,healthtype,healthtype_2,healthtype_3,screening,screening_2,jobrole,marital,child_dependants,adult_dependants,experience_1,experience_2,experience_3,experience_4,prevention_1,prevention_2,skills_1,skills_2,belief,conseq_beliefs_1,conseq_beliefs_2,conseq_beliefs_3,intentions,environment_context_1,environment_context_2,environment_context_3,environment_context_4,supplies_1,social_influence_1,social_influence_2,social_influence_3,emotion_1,emotion_2,emotion_3,emotion_4,emotion_5,trust_1,trust_2,trust_3,
7,41,Female,Medical doctor,,Palliative Care,private,Kampala,Yes,rarely,Fulltime,Single (never married),None,Yes,No,No,No,No,Yes,Yes,agree,agree,strongly agree.,agree,strongly agree.,disagree,strongly agree.,strongly agree.,strongly agree.,strongly agree.,agree,strongly agree.,agree,strongly agree.,agree,agree,agree,agree,somewhat agree,disagree,most of the time,all of the time,all of the time,
8,50,Female,Midwife,,paediatric,public,Kampala,Yes,daily,casual or locum staff,Living with partner,4,Yes,Yes,No,Yes,No,Yes,NA,agree,strongly agree.,agree,agree,agree,agree,strongly agree.,strongly agree.,agree,strongly agree.,strongly agree.,strongly agree.,agree,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,somewhat agree,disagree,all of the time,most of the time,most of the time,
9,35,Female,Medical doctor,,Medical unit,private,Kampala ,Yes,daily,Fulltime,Married,Prefer not to say,no,Yes,Yes,Yes,Yes,Yes,Yes,somewhat agree,somewhat agree,strongly agree.,disagree,strongly agree.,somewhat agree,strongly agree.,somewhat agree,somewhat agree,strongly disagree,neither agree nor disagree,strongly agree.,agree,strongly agree.,agree,strongly agree.,strongly agree.,agree,somewhat disagree,strongly disagree,more than half of the time,all of the time,all of the time,
10,34,Male,Medical doctor,,Medical unit,private,Kampala,Yes,more than one day per week,part time,Married,None,Yes,Yes,Yes,Yes,Yes,Yes,Yes,strongly agree.,strongly agree.,strongly agree.,agree,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,agree,strongly disagree,somewhat agree,agree,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,somewhat agree,some of the time,more than half of the time,more than half of the time,
11,38,Female,Social worker/counsellor,,Palliative Care,private,Wakiso,Yes,more than one day per week,part time,Separated,4,Yes,No,No,Unsure,No,Yes,Yes,somewhat agree,somewhat disagree,agree,disagree,agree,agree,agree,strongly agree.,somewhat disagree,disagree,disagree,strongly agree.,strongly disagree,strongly agree.,agree,strongly agree.,strongly agree.,strongly agree.,strongly agree.,somewhat agree,NA,some of the time,more than half of the time,
12,33,Female,Other,,Laboratory,private,Wakiso,No,NA,Fulltime,Married,3,Yes,No,No,Yes,No,Yes,Yes,somewhat agree,somewhat agree,agree,somewhat agree,agree,strongly agree.,agree,somewhat agree,somewhat agree,somewhat agree,neither agree nor disagree,NA,somewhat agree,strongly agree.,agree,agree,strongly agree.,strongly agree.,neither agree nor disagree,somewhat disagree,more than half of the time,most of the time,more than half of the time,
13,31,Female,Other,,Laboratory,public,Entebbe ,No,NA,part time,Married,2,Yes,No,No,Yes,No,Yes,NA,strongly agree.,strongly disagree,strongly agree.,strongly agree.,agree,agree,strongly agree.,strongly disagree,strongly agree.,strongly disagree,neither agree nor disagree,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly disagree,strongly agree.,strongly disagree,all of the time,at no time,at no time,
14,40,Male,Other,,Palliative Care,public,National,No,NA,Fulltime,Married,2,Yes,No,No,No,No,Yes,No,strongly disagree,strongly disagree,strongly agree.,agree,strongly agree.,disagree,somewhat agree,agree,somewhat disagree,strongly disagree,somewhat agree,strongly disagree,agree,agree,agree,agree,agree,agree,agree,agree,all of the time,some of the time,some of the time,
15,38,Female,Medical doctor,,Medical unit,public,Kampala,Yes,daily,Fulltime,Single (never married),4,no,No,Yes,Yes,Yes,Yes,Yes,agree,strongly agree.,agree,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,agree,neither agree nor disagree,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,somewhat agree,somewhat agree,somewhat agree,more than half of the time,more than half of the time,more than half of the time,
16,54,Female,Social worker/counsellor,,Palliative Care,public,Mulago Hospital,Yes,daily,Fulltime,Married,5+,Yes,No,No,No,No,NA,NA,somewhat agree,somewhat agree,somewhat agree,somewhat agree,NA,somewhat agree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,strongly disagree,neither agree nor disagree,strongly disagree,somewhat agree,somewhat agree,somewhat agree,somewhat agree,somewhat agree,agree,somewhat agree,somewhat agree,less than half of the time,less than half of the time,less than half of the time,
