record_id,age,gender,role,role_other,healthtype,healthtype_2,District,Regions,Direct care to patients,If Yes,jobrole,marital,child_dependants,adult_dependants,experience_1,experience_2,experience_3,experience_4,contacttype,contacttype_2,prevention_1,prevention_2,prevention_3,prevention_4,prevention_5,prevention_6,prevention_7,prevention_8,prevention_9,prevention_10,prevention_11,masktype,other_prevention,service_demand_1,service_demand_2,control_procedure_1,control_procedure_2,control_procedure_3,control_procedure_4,control_procedure_5,control_procedure_6,control_procedure_7,control_procedure_8,control_procedure_9,control_procedure_10,medicalmasktype,other_procedure,skills_1,skills_2,skills_3,belief,social_role,conseq_beliefs_1,conseq_beliefs_2,conseq_beliefs_3,intentions,environment_context_1,environment_context_2,environment_context_3,environment_context_4,supplies_1,supplies_2,supplies_3,supplies_4,supplies_5,supplies_6,supplies_7,supplies_8,supplies_9,supplies_10,supplies_11,social_influence_1,social_influence_2,social_influence_3,social_influence_4,emotion_1,emotion_2,emotion_3,emotion_4,emotion_5,wellbeing_1,wellbeing_2,wellbeing_3,wellbeing_4,wellbeing_5,trust_1,trust_2,trust_3,psychological_1,psychological_2,psychological_3,psychological_4
1,41,1,2,,11,1,Kampala,Kampala,1,4,1,1,6,1,2,2,2,2,,,1,1,1,2,1,1,2,1,1,2,2,Surgical mask,,5,4,1,1,1,1,1,1,1,1,1,2,Surgical masks,,6,6,6,7,7,6,7,2,7,7,7,7,6,7,7,7,7,7,7,2,7,7,3,7,6,7,6,4,6,6,6,5,2,5,5,3,4,4,2,1,1,1,1,1,1
2,50,1,5,,4,2,Kampala,Kampala,1,1,3,2,4,1,1,2,1,2,,,1,1,1,2,1,1,2,1,1,2,2,Surgical mask,,6,6,1,1,1,1,1,1,1,1,1,2,Disposal masks,,6,7,6,6,7,6,6,6,7,7,6,7,7,7,6,7,2,6,5,5,7,7,5,2,6,7,7,5,7,7,7,5,2,5,5,2,5,5,1,2,2,1,1,2,2
3,35,1,2,,1,1,Kampala,Kampala,1,1,1,3,7,2,1,1,1,1,2,,1,1,1,2,1,1,2,1,1,2,2,Surgical mask,,4,4,1,1,1,1,1,1,1,1,1,2,Surgical masks,,5,5,5,7,7,2,7,5,7,5,5,1,4,7,7,7,1,1,7,1,1,7,1,1,6,7,6,2,7,7,6,3,1,5,5,5,5,5,3,1,1,2,1,1,1
4,34,2,2,,1,1,Kampala,Kampala,1,2,2,3,6,1,1,1,1,1,2,,1,1,1,1,1,1,2,1,1,2,2,Surgical mask,,6,3,1,1,1,1,1,1,1,1,1,2,Surgical masks,,7,7,7,7,7,6,7,7,7,7,7,6,1,5,7,7,3,2,5,5,5,7,1,7,6,7,7,7,7,7,7,7,5,4,4,4,4,4,5,3,3,2,1,1,1
5,38,1,8,,11,1,Wakiso,Central 1,1,2,2,5,4,1,2,2,3,2,,,1,1,1,2,2,2,2,2,1,2,2,Surgical mask,,3,3,1,1,2,1,1,1,1,1,1,2,,,5,3,3,6,7,2,6,6,6,7,3,2,2,7,7,7,6,6,7,2,2,2,2,2,1,7,6,2,7,7,7,7,5,5,2,5,5,5,1,5,3,1,1,1,1
6,33,1,10,,10,1,Wakiso,Central 1,2,,1,3,3,1,2,2,1,2,,,1,1,3,2,1,1,2,1,1,3,3,,,5,5,1,1,2,1,1,1,1,1,1,3,,,5,5,4,6,7,5,6,7,6,5,5,5,4,7,7,7,2,2,7,1,6,7,1,1,5,7,6,5,6,7,7,4,3,3,3,3,3,4,3,2,3,1,1,1,1
7,31,1,10,,10,2,Wakiso,Central 1,2,,2,3,2,1,2,2,1,2,,,1,1,1,1,1,1,2,1,1,2,2,Surgical mask,,7,7,1,1,1,1,1,1,1,1,1,2,Surgical masks,,7,1,7,7,6,7,6,6,7,1,7,1,4,7,7,7,7,7,7,7,7,7,1,7,7,7,7,3,7,7,1,7,1,2,5,5,2,5,1,6,6,2,2,2,2
8,40,2,10,,11,2,Kampala,Kampala,2,,1,3,2,1,2,2,2,2,,,1,2,1,2,2,1,2,2,2,2,2,Surgical mask,,2,2,1,1,1,1,1,1,1,1,1,2,Surgical masks,,1,1,1,7,7,6,7,2,5,6,3,1,5,1,1,1,1,1,1,1,1,1,1,1,6,6,6,6,6,6,6,6,6,6,6,6,5,4,1,5,5,1,1,1,1
9,38,1,2,,1,2,Kampala,Kampala,1,1,1,1,4,2,2,1,1,1,1,2,1,1,2,1,1,1,2,1,2,2,2,,,6,5,1,1,1,1,1,1,1,1,1,2,Surgical masks,,6,7,6,6,4,7,7,7,7,7,7,6,4,7,7,7,5,6,7,7,6,7,6,7,7,7,7,4,7,7,5,5,5,5,4,4,3,4,3,3,3,1,1,1,2
10,54,1,8,,11,2,Kampala,Kampala,1,1,1,3,5,1,2,2,2,2,,,1,1,1,2,1,1,2,1,1,2,2,Surgical mask,,6,2,1,1,3,3,2,1,2,2,1,2,,,5,5,5,5,5,5,6,5,4,4,4,1,4,1,1,2,1,1,1,2,4,1,6,6,5,5,5,5,5,5,6,5,5,4,3,4,4,3,4,4,4,1,1,1,1
11,28,1,6,,3,1,Kampala,Kampala,1,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,Surgical mask,,6,6,1,1,1,1,1,1,1,1,1,1,Surgical masks,Social distancing,7,6,6,6,7,1,6,6,7,6,6,6,2,7,7,7,5,5,7,7,6,7,7,7,6,7,7,5,7,7,1,7,2,6,6,6,6,6,6,6,6,1,1,2,1
12,30,2,2,,4,2,Kampala,Kampala,1,1,1,3,2,2,3,3,1,1,2,,1,1,2,2,2,1,2,2,2,2,2,,,2,2,1,1,2,1,1,1,1,1,2,2,,,5,6,5,5,6,2,5,5,6,2,2,3,4,7,7,7,2,2,6,1,1,6,1,6,3,6,5,5,6,6,6,6,2,2,2,3,4,4,5,4,4,1,1,2,2
13,63,2,2,,4,2,Kampala,Kampala,1,1,1,3,3,2,1,2,1,2,,,1,3,1,2,1,1,2,1,1,2,2,Surgical mask,,6,7,1,1,1,1,1,1,1,1,1,2,Surgical masks,,6,6,7,7,7,6,6,7,6,6,5,7,5,6,6,6,5,5,7,5,5,7,4,4,5,6,5,5,6,6,6,5,5,3,3,2,3,2,2,1,2,2,1,2,2
14,43,2,1,,2,1,Kampala,Kampala,1,1,1,3,4,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,Surgical mask,,1,2,1,1,1,1,1,1,1,1,1,2,Surgical masks,,2,1,1,1,1,1,1,1,1,1,3,2,2,1,1,1,1,2,1,1,1,1,1,1,3,1,3,3,1,1,4,4,1,2,2,3,3,2,2,1,1,1,1,1,1
15,62,1,1,,1,1,Kampala,Kampala,1,2,2,7,6,1,2,2,1,1,1,2,1,1,1,2,1,1,2,1,1,2,2,Surgical mask,,1,1,1,1,1,1,1,1,1,1,1,2,Surgical masks,,3,6,1,2,2,7,6,2,6,2,6,6,2,7,7,7,7,7,7,7,7,7,1,7,5,6,5,3,6,6,5,5,4,2,2,3,2,3,2,1,1,2,2,2,2
16,35,2,9,,1,1,Kampala,Kampala,2,,1,3,4,1,2,2,1,1,3,,1,1,1,1,1,1,2,1,1,2,2,Surgical mask,,7,7,1,1,1,1,1,1,1,1,1,2,Surgical masks,,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,7,7,1,7,7,1,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,2,2,2,2
17,30,1,6,,1,1,Kampala,Kampala,1,1,1,3,4,2,1,2,1,1,1,2,1,1,1,2,1,1,2,1,1,2,2,Surgical mask,,5,5,1,1,1,1,1,1,1,1,1,2,Surgical masks,,2,2,5,5,6,2,6,6,7,2,2,7,2,2,1,7,6,6,7,1,1,6,1,7,5,7,5,1,7,7,7,7,5,2,3,4,4,4,5,5,5,2,2,2,2
18,49,2,1,,11,1,Kampala,Kampala,1,1,1,3,2,2,2,1,1,2,,,1,1,1,2,2,1,2,1,2,1,2,Surgical mask,,5,5,1,1,2,1,1,1,1,1,1,2,,,7,7,6,7,7,6,7,7,7,7,7,7,6,7,7,7,6,6,7,4,4,7,4,7,2,7,7,7,7,7,1,7,7,6,6,6,6,6,3,2,2,1,1,1,1
19,50,1,6,,5,1,Kampala,Kampala,1,1,1,3,1,2,3,3,1,1,1,2,1,1,1,1,1,1,1,1,1,1,3,Surgical mask,,7,7,1,1,1,1,1,1,1,1,1,3,Medical mask ,,7,7,7,7,7,7,6,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,2,7,7,2,7,7,2,2,2,2,2,2,2,1,1,1,1,1
20,31,2,1,,9,1,Kampala,Kampala,1,1,2,1,7,2,1,2,1,1,1,2,1,1,2,1,1,1,2,1,2,2,2,,,1,1,1,1,1,2,1,1,1,1,1,2,Surgical masks,,3,1,1,1,1,1,1,1,1,1,2,1,2,7,7,7,7,7,6,6,6,7,6,6,6,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21,45,2,2,,6,1,Kampala,Kampala,1,1,1,3,3,1,2,2,1,2,,,1,1,2,2,1,1,2,1,1,2,1,,gumboots,7,7,1,1,3,1,1,1,1,1,1,3,,,6,6,5,7,7,6,7,7,7,5,2,7,4,5,6,7,4,4,7,4,6,7,3,7,4,6,6,3,7,6,6,6,6,5,5,4,3,4,3,4,3,1,2,2,2
22,34,1,6,,11,1,Kampala,Kampala,1,1,1,3,3,2,2,2,1,2,,,1,1,1,1,1,1,2,1,1,2,3,Surgical mask,,6,6,1,1,1,1,1,1,1,1,1,3,Disposal masks,,6,6,6,7,7,7,7,2,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,5,7,7,5,7,5,5,3,2,4,5,2,2,2,1,1,1,1
23,42,2,1,,1,1,Kampala,Kampala,1,2,1,3,5,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,2,2,,,6,4,1,1,2,1,1,1,1,1,1,2,,,6,6,6,7,6,6,6,7,6,4,6,5,4,6,6,6,6,6,6,6,6,6,6,6,4,6,6,4,5,5,4,6,6,5,5,5,5,5,5,5,5,2,2,2,2
24,31,1,5,,11,1,Kampala,Kampala,2,,1,3,3,2,2,2,2,2,,,1,1,1,2,1,1,2,2,1,2,2,Surgical mask,,3,3,1,1,2,1,1,1,1,1,1,2,,,6,6,6,6,7,6,6,2,6,6,2,2,2,6,6,6,2,2,5,2,2,6,2,2,6,6,6,6,6,6,7,6,2,5,6,5,5,6,1,2,2,1,1,1,1
25,36,2,9,,11,1,Kampala,Kampala,1,1,1,3,3,2,2,2,1,2,,,1,1,1,2,2,2,2,1,2,2,1,Surgical mask,Cloth masks ,6,6,1,1,1,1,1,1,1,1,1,2,Disposal masks,,6,6,6,6,6,6,6,6,6,7,7,6,6,7,7,7,7,7,7,7,7,7,7,7,6,6,6,2,7,7,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1
